tx,minter,tokenId,tokenUri
0xd8cc1fbcf0834f6b4badb6de3efe8102536b4f709b8f3ac83743daa72cc24935,0x257c21206df8a751dE09B3502B32d25888099DB9,24,ipfs://QmSvciTcW6ssBhb3sqy22oojEVsu6436h4gATSLEAthv7h
0x0da8da7cb1ed94f09fabd6a6dff8b40bc2937a62aed869cf26b3cb2f0d08b7d9,0xf8D9d01c90B84dc99064968ED77b829Ab0A593f7,25,ipfs://QmNXR9f3inFZ3Jfrf7ZiLxu9zeXnitbDwVXs2gicksv92e
0xf065c60d9742d81d3e12385dc8523af0b0b77578510358dfe43e742e163df3ee,0x4229F08dC41E04F0a760F237F5671ef015c52ac9,26,ipfs://QmYrmm7XRb8xjx8iKQES3Zd594TBWRjY6QVu6L7ZWdkhQJ
0x3cf380690718d40a312e6a215142a9016f2857aa5ab4bf8c7efe2c98eadceb75,0x3eC644A91F831260E0A3bE98B63f8DD81E3Ea25D,27,ipfs://QmaEFDy7Z1ZCakeGn8skdJ43iwCJ7VEVF6vMvvUmZvKB5s
0x9a353ded2355e5befd6f406cb695789bf967eed7fc5f2b1ab7e552d184765dab,0x17B992043421E2B71FE36cCD08e5A559FD3bA04c,28,ipfs://QmWcuVRZmosRDoj1vufKtmSZEDoAEpQLi1jHxfhXs4jTms
0xb216bc1cb4ca2d7835309e01494082fc8e6c4bef1d5fd9713182a5122126ea50,0x1b5A5Aa8ca1B3f4d55ccAAb0eADab56C52d0374d,29,ipfs://QmaXQX7yjk467T3viyzfjmseyhrmukX38YgV9VhhPsvssJ
0x6cb7b954d85dc51b6d775af0ffdbb84188ce2a67fe0e6a1dc662bdefe534411e,0xcDB1F3e47A0F58920D22e82FAd9d3eB4784A466E,30,ipfs://QmdiwKpLjrA4ZvEKVj16BEypAJpQZ5js23niDuC6sVJpsH
0xf77b0eb251d5ac76b6ad49ea17fbc9e314f154a63478dec29c9fc8d7716519b6,0x6261697c0070ce6848b86FbE67BdaE7195857B53,31,ipfs://QmW5tQ9Hqna13Z4koviTXj98kTXF6rZVcmqCiZafmvSVyR
0x2b66aba208c2db1afe1b0ddccad83b1664d18e2da33e83ef3f8c9f1be91c113d,0xF44a307CEcB7d8A9C5171064e8FcBb7b2d3e971D,32,ipfs://QmVv6mZZ11yoKW73CvxcsQRgG3YBQM7CcnrxS4edYVgLSP
0x7518d28bb2a4059c1c899b0a1d4630f329b6d2605c97f9be2b1fd412ca0cbde1,0x43c5657ca3876a622E5edE894F03A90D67f68f0B,33,ipfs://QmVmLsRQDci65e2ovhiD9SEJBh4wHrcitVcJX4TxowSYa5
0x2293a747b21b2787353905dca2a7be8c1aee5f6a68f62bee83ce8731dbbcfdba,0x161F768820dd53cf3e7254f1BFb4F0D4076E3ec0,34,ipfs://QmUw7dGQCGY7HAoq92FEgRFjAp9T1n5pKqvMt5FHfsHK8J
0x45af127c8f6329b9c345515a072a7220dc847542262cf801e29ccacdfbc341ea,0x7000328f93b18F98bB72963c98460E178d0AFf3E,35,ipfs://Qma8VFraBNnRTCNGV1QyXKn4GhSJDu7e1RSpdUFuKGYtBU
0x9512cf85296de7ab0edfb4f31f6ff3e646501ddb9b3df1dd78aac86ebbabc71d,0x57123a01dB689c7B0fD79CB136da065b75b42F7b,36,ipfs://QmP9VpQpUzRm3mntZd28QubPQ57pDNADbLd6CBUfECTrDS
0x5b02c0a531df2bfa938e4a4e38d8345b4205b77f5a6e01fca1b97abc8ee62612,0x864608EFC402E4714b07BC52a49120FF74387a0B,37,ipfs://QmSXbyZE6nmERxtcjZk6WicA5oXMoRtwXcaqbQhPYjxQ5U
0x6e9c67156d961919e18e163aadff14a944080c080e6caab72d022c903f0879cb,0xbe3018ec0a8D780833336251E591a58097d8618A,38,ipfs://QmV3RuzeA3zc33yLccm3Hiz1FttqEy71NqdZbZRBc7WSfG
0xf5aa6173ef8e55eaacad953866b39eb3394827d12a6e4553780fb9eed5a8759e,0x037E6e052153C739A60321669Cc204AA391A7bC5,39,ipfs://Qmdk57ZY7387HWjLH6cKsYyGjPBAgtnXyyoWBAd2Qjbr8Q
0xbbee8bf51acbcc5f98cda3f65f0a1fc3267db7e81bc06aa2bd2b45bd2c1f0e02,0x74147AeF4Cfa989Fed3372a7008d29b001694307,40,ipfs://QmbfBFTUFxkGE5UXvd6DoT3R5wKCbboSH7YSoXWGgdTAbY
0x8efe2e989a99dfff443e788bc996276531ab5e6cc3592591fa763deda474c699,0xb15115A15d5992A756D003AE74C0b832918fAb75,41,ipfs://QmcCvnXY6gPJKb8FE4eN9u8gh7wgFuAQrWfcZQsMXS6ri9
0xdd5e86863923f746116b6f184e3b284e271a61a0288c29001361977e921e7757,0x1532d98e151028BA6f4241b136c4844002612a30,42,ipfs://QmT3RC41KSEKq3PzL21S8YMudLceMXG34rCLFTWUkRkwj8
0x73ecaf45e062d90e78a9d881c11de832c3549bcba665169aa476f3faf28e867c,0x7DFaA9D32AA9Bb29586814Fc5F542a38Ed7c2da5,43,ipfs://Qmb1qtDdPbWWsEp5hL826WrDTKtc5i5HH2oDjYQQxPgKq4
0x6849bda26e6cba93cb8ec7dfaa896a1c30b6d8cf34e1084093a9a9b7fd20512c,0x6656fDC4871389d22487f1A40B0E608e0bf2A3E1,44,ipfs://QmPpVLnQMPsF3DMAdqb2hbNKr9yvXRVTyutFvhYWNfrLvb
